"dataResourceUid","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLatitude","verbatimLongitude","verbatimLongitude","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","verbatimBasisOfRecord","measurementDeterminedDate","videos","species","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","identifierRole","relationshipOfResource","measurementMethod","provenance","sounds","recordID","rights","source","verbatimScientificName","verbatimContinent","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","images","dcterms:type"
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","3f565ed1-20fe-11e3-9e2e-000c29035824","MA-01-00349515","","Rivas","","","","","","","","","PRESENT","","","","","","","MA-349515-1","","","","","","","","","","","","","1944-01-16T23:00:00Z","","","","1944","1","17","17011944","","","","","","","","","","","","","","","Spain","ES","","","","Torre García, Estepa","Torre García,  Estepa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b05c07a6-20fe-11e3-9e2e-000c29035824","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","8f28b802-374d-440b-ad6b-04f0ad2c4aa7","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","33a17bc3-20fe-11e3-9e2e-000c29035824","MA-01-00192796","","","","","","","","","","","PRESENT","","","","","","","MA-192796-1","","","","","","","","","","","","","1944-01-01T23:00:00Z","","","","1944","1","2","02011944","","","","","","","","","","","","","","","Spain","ES","","","","Cabo de Gata","Cabo de Gata","","","","","","","","","","","","36.7624","-2.2281","EPSG:4326","","","","","36.7624","","-2.2281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ef3a78d6-4afa-4437-b400-2ed3342034ab","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","2fb0a023-3574-428a-895f-19344166515a","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","39d965cc-20fe-11e3-9e2e-000c29035824","MA-01-00283299","","Lázaro, R.","","","","","","","","","PRESENT","","","","","","","MA-283299-1","","","","","","","","","","","","","1982-11-22T23:00:00Z","","","","1982","11","23","23111982","","","","","","","","","","","","","","","Spain","ES","","","","Capital, cima del Cerro de S. Cristobal","Capital, cima del Cerro de S. Cristobal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d96132dc-cdee-45c4-80ab-dc6e4a2c8875","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","470c7837-3022-4ad2-b42f-80b42f864f5d","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","33a17e40-20fe-11e3-9e2e-000c29035824","MA-01-00192797","","","","","","","","","","","PRESENT","","","","","","","MA-192797-1","","","","","","","","","","","","","1966-11-19T23:00:00Z","","","","1966","11","20","20111966","arenales","","","","","","","","","","","","","","Spain","ES","","","","La Marina del Pino","La Marina del Pino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c20d2fcb-e189-43ac-b92f-77a60e91a1e1","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","d3ed582c-8e58-45a4-bc00-6ac7e086a680","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","39dcb9f8-20fe-11e3-9e2e-000c29035824","MA-01-00283501","","","","","","","","","","","PRESENT","","","","","","","MA-283501-1","","","","","","","","","","","","","","","","","1946","","","00001946","","","","","","","","","","","","","","","Spain","ES","","","","Cerro de la Alcazaba","Cerro de la Alcazaba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","abc352fc-20fe-11e3-9e2e-000c29035824","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","ffacbda3-7887-430f-aa9f-70446b1fc29c","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","37931b06-20fe-11e3-9e2e-000c29035824","MA-01-00258443","","","","","","","","","","","PRESENT","","","","","","","MA-258443-1","","","","","","","","","","","","","","","","","1946","3","","00031946","loco clásico","","","","","","","","","","","","","","Spain","ES","","","","Cerro de la Alcazaba","Cerro de la Alcazaba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e121bac1-526f-4127-bb6e-f205cb842a6b","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","79388807-bfdc-415d-98e9-640b52ccaf7c","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","43f8bc17-20fe-11e3-9e2e-000c29035824","MA-01-00414387","1069","","","","","","","","","","PRESENT","","","","","","","MA-414387-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","ES","","","","El Alquián","El Alquián","","","","","","","","","","","","36.8444","-2.3731","EPSG:4326","","","","","36.8444","","-2.3731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1bcb5bd6-4921-4dbb-8b00-9e6be0eb4f37","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","b422d651-05ab-4a59-ad40-1e861296509a","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","3f5684d1-20fe-11e3-9e2e-000c29035824","MA-01-00349524","","","","","","","","","","","PRESENT","","","","","","","MA-349524-1","","","","","","","","","","","","","","","","","1946","","","00001946","","","","","","","","","","","","","","","Spain","ES","","","","Cerro de la Alcazaba","Cerro de la Alcazaba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","740b53e1-7295-42ef-9a6b-e5f49a98d4b7","","","","2012-03-01","","","","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","726bb2d4-208a-4044-bf8d-082a92655b1b","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","42b4718d-20fe-11e3-9e2e-000c29035824","MA-01-00393955","","","","","","","","","","","PRESENT","","","","","","","MA-393955-1","","","","","","","","","","","","","","","","","1969","12","","00121969","con suelo arenoso","","","","","","","","","","","","","","Spain","ES","","","","En plantaciones de Enequen, cerca del Alquian","En plantaciones de Enequen, cerca del Alquian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b50537a5-2234-4ee3-aba8-8b6d7ebda981","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","7a350503-f795-4a80-bace-a2ee40e3333a","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
"dr286","","","CC-BY-NC 4.0 (Int)","","","","","0363cbd4-f666-455e-8e86-0bbddcf51950","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","","MA","PRESERVED_SPECIMEN","","","","3f56a704-20fe-11e3-9e2e-000c29035824","MA-01-00349532","","Jiménez, Francisco","","","","","","","","","PRESENT","","","","","","","MA-349532-1","","","","","","","","","","","","","","","","","1947","4","","00041947","","","","","","","","","","","","","","","Spain","ES","","","","Lugares áridos del Cerro de la Alcazaba","Lugares áridos del Cerro de la Alcazaba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ad697be-2feb-4e75-8c5b-16421367a5ea","","","","2012-03-01","","","Revisado para Flora iberica","2740599","","","","","","","2740599","Androcymbium europaeum","","","","","","","","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","","europaeum","","species","","(Lange) K.Richt.","Azafrán de Almería","","","","","PreservedSpecimen","","","Androcymbium europaeum","","","","","","","","","","","Published dataset","","dc49efdd-12dc-4c63-8665-c17b37352e8d","","","Androcymbium europaeum (Lange) K. Richt.","","","","","","","","",""
