id_releve,original_name,accepted_name,value
T-P26420,Androcymbium gramineum (Cav.) Macbride,Androcymbium europaeum (Lange) K.Richt.,3.2
T-P26420,Filago mareotica subsp. clementei,NA,+
T-P26420,Trifolium suffocatum L.,NA,1.2
T-P26420,Tillaea muscosa L.,Crassula tillaea Lest.-Garl.,1.1
T-P26420,Minuartia geniculata (Poiret) F. N. Williams,Rhodalsine geniculata (Poir.) F.N. Williams,+
T-P26420,Polycarpon alsinifolium (Biv.) DC.,NA,+
T-P26420,Erodium malacoides var. subtrilobum,NA,+
T-P26420,Filago germanica L.,Filago micropodioides Lange,+
T-P26420,Riccia ssp.,NA,4.3
T-P26420,Calendula aegyptiaca Desf.,Calendula arvensis L.,+
T-P26420,Hynoseris scabra,NA,+
T-P26420,Atractylis cancellata L.,NA,+
T-P26420,Iris sisyrinchium L.,Gynandriris sisyrinchium (L.) Parl.,+
T-P26420,Plantago ovata Forsskal,Plantago ovata Forssk.,+
T-P26420,Bupleurum semicompositum L.,NA,1.1
T-P26420,Euphorbia sulcata Lens ex Loisel.,NA,1.1
T-P26420,Helianthemum ledifolium (L.) Mill.,NA,1.1
T-P26420,Herniaria cinerea DC. in Lam. & DC.,NA,1.1
T-P26420,Silene tridentata subsp. coarctata,NA,1.1
T-P26420,Euphorbia falcata L.,Euphorbia falcata L. subsp. falcata,+
T-P26420,Leontodon saxatilis Lam. subsp. rothii (Ball) Maire in Jahand. & Maire,Leontodon longirostris (Finch & P.D. Sell) Talavera in Valdés & al.,1.1
T-P26420,Campanula erinus L.,NA,+
T-P26420,Euphorbia exigua L.,Euphorbia exigua L. subsp. exigua,+
T-P26420,Paronychia argentea Lam.,NA,+
T-P26420,Trigonella monspeliaca L.,NA,+
T-P26420,Sideritis romana L.,NA,+
T-P26420,Convolvulus althaeoides L.,NA,+
T-P26420,Trifolium stellatum L.,NA,+
T-P26420,Phagnalon saxatile (L.) Cass.,NA,+
T-P26420,Hedypnois cretica (L.) F.W. Schmidt,Hedypnois rhagadioloides (L.) F.W. Schmidt,+
T-P26420,Helianthemum salicifolium (L.) Mill.,NA,+
T-P26420,Lithospermum apulum (L.) Vahl,Neatostema apulum (L.) I. M. Johnston,+
T-P26420,Schismus calycinus Coss. & Durieu,Schismus barbatus (L.) Thell.,1.2
T-P26420,Lobularia maritima (L.) Desv.,NA,+
T-P26420,Koeleria phleoides (Vill.) Pers.,Rostraria cristata (L.) Tzvelev,+
T-P26420,Plantago coronopus L.,NA,+
T-P26420,Arisarum vulgare Targ.-Tozz. subsp. vulgare,Arisarum vulgare Targ.-Tozz.,2.2
T-P26420,Asteriscus maritimus (L.) Less.,NA,+
T-P26420,Erodium cicutarium (L.) L'Hér. in Aiton,NA,1.1
T-P26420,Pleurochaete squarrosa,NA,4.3
T-P26421,Androcymbium gramineum (Cav.) Macbride,Androcymbium europaeum (Lange) K.Richt.,+
T-P26421,Filago mareotica subsp. clementei,NA,1.1
T-P26421,Trifolium suffocatum L.,NA,+
T-P26421,Tillaea muscosa L.,Crassula tillaea Lest.-Garl.,1.1
T-P26421,Sedum rubrum (L.) Thell.,Sedum caespitosum (Cav.) DC.,+
T-P26421,Minuartia geniculata (Poiret) F. N. Williams,Rhodalsine geniculata (Poir.) F.N. Williams,+
T-P26421,Polycarpon alsinifolium (Biv.) DC.,NA,+
T-P26421,Erodium malacoides var. subtrilobum,NA,+
T-P26421,Filago germanica L.,Filago micropodioides Lange,+
T-P26421,Asphodelus tenuifolius Cav.,NA,+
T-P26421,Riccia ssp.,NA,2.3
T-P26421,Matthiola parviflora (Schousb.) R. Br. in W.T. Aiton,NA,+
T-P26421,Bupleurum semicompositum L.,NA,1.1
