id_releve,day,month,year,code,precision,type,units,PlotArea,PlotForm,OriginalSyntaxonName,CurrentSyntaxonName,WorkCode,WorkName,WorkAuthors,WorkPublicationYear,WorkPublication,LocationInWork
T-P26420,1,3,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26421,28,2,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26422,1,3,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26423,1,3,1955,29SQA55,0.0,UTM alphanum,10Km,0.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26424,28,2,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26425,28,2,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26426,28,2,1955,29SQA55,0.0,UTM alphanum,10Km,0.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
T-P26427,28,2,1955,29SQA55,0.0,UTM alphanum,10Km,1.0,0,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,Androcymbio-Tilaeetum muscosae P. Montserrat 1961,0979,"Contribución al conocimiento de los pastos almerienses, 1.","Montserrat, P.",1961,"Archivos del Inst. Aclimatación, 10: 17-33.",
V-P00920,14,1,1997,30SWF6776,0.0,UTM alphanum,1Km,50.0,0,Ziziphetum loti Rivas Goday & Bellot 1944,Ziziphetum loti Rivas Goday & Bellot 1944,0075,Red de Información Ambiental de Andalucía (REDIAM),varios autores,2017,Junta de,
V-P01072,17,1,1997,30SWF6377,0.0,UTM alphanum,1Km,100.0,0,Dactylido hispanicae-Lygeetum sparti Rivas Mart. ex Alcaraz 1984,Dactylido hispanicae-Lygeetum sparti Rivas-Martínez ex Alcaraz 1984,0075,Red de Información Ambiental de Andalucía (REDIAM),varios autores,2017,Junta de,
