gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
217748544																										FUND. BIODIVERSIDAD:ANTHOS:1906633									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1906633	1906633															PRESENT																																					EUROPE				ES	Al			Cortijar de Charco del Lobo									36.9087689	-2.0511181	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:35.099Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:35.099Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217748543																										FUND. BIODIVERSIDAD:ANTHOS:1906632									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1906632	1906632															PRESENT																																					EUROPE				ES	Al			Playa de Mónsul									36.7287648	-2.1611174	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:48:06.456Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:48:06.456Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217748541																										FUND. BIODIVERSIDAD:ANTHOS:1906630									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1906630	1906630															PRESENT																																					EUROPE				ES	Al			El Barranquete									36.9987671	-2.3811257	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:48:03.212Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:48:03.212Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.2_1	n.a. (16)	NT	
217748538																										FUND. BIODIVERSIDAD:ANTHOS:1906627									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1906627	1906627															PRESENT																																					EUROPE				ES	Al			Cerro de San Cristóbal									36.8187629	-2.5011252	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:31.302Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:31.302Z	2023-01-08T01:40:15.994Z	false										NT	
217748537																										FUND. BIODIVERSIDAD:ANTHOS:1906626									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1906626	1906626															PRESENT																																					EUROPE				ES	Al			Los Molinos									37.0887721	-2.0411207	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:28.396Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:28.396Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.2_1	n.a. (16)	NT	
217748345																										FUND. BIODIVERSIDAD:ANTHOS:1654850									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1654850	1654850															PRESENT																											medio calcáreo soleado y venteado										EUROPE				ES	Al			Almería, capital, cerro Majano		210							36.8487637	-2.4711251	707.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:20.622Z	210.0	0.0						COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:20.622Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217747636																										FUND. BIODIVERSIDAD:ANTHOS:1446652									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1446652	1446652															PRESENT																											pedregales y sistemas dunares cercanos a la costa, condiciones climáticas semiáridas										EUROPE				ES	Al			El Alquián, hacia Cabo de Gata									36.8187652	-2.2711209	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:13.355Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:13.355Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217747635																										FUND. BIODIVERSIDAD:ANTHOS:1446651									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1446651	1446651															PRESENT																											pedregales y sistemas dunares cercanos a la costa, condiciones climáticas semiáridas										EUROPE				ES	Al			El Alquián, hacia Cabo de Gata									36.8187652	-2.2711209	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:49:15.615Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:49:15.615Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217747634																										FUND. BIODIVERSIDAD:ANTHOS:1446650									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1446650	1446650															PRESENT																											pedregales y sistemas dunares cercanos a la costa, condiciones climáticas semiáridas										EUROPE				ES	Al			El Alquián, hacia Cabo de Gata									36.8187652	-2.2711209	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:47:47.429Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:47:47.429Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
217747633																										FUND. BIODIVERSIDAD:ANTHOS:1446649									es	CC_BY_NC_4_0																							FUND. BIODIVERSIDAD	ANTHOS			HUMAN_OBSERVATION				FUND. BIODIVERSIDAD:ANTHOS:1446649	1446649															PRESENT																											pedregales y sistemas dunares cercanos a la costa, condiciones climáticas semiáridas										EUROPE				ES	Al			El Alquián, hacia Cabo de Gata									36.8187652	-2.2711209	7071.0																																																	Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			4cf3eec1-b902-40c9-b15b-05c5fe5928b6	ES	2023-06-07T19:47:45.364Z								COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T19:47:45.364Z	2023-01-08T01:40:15.994Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
