gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
1936359188																										45855dea-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				45855dea-20fe-11e3-9e2e-000c29035824	MA-01-00433805		E. Jiménez & Rivas Goday													PRESENT							MA-433805-1												1946-03-15T00:00:00				1946	3	15	15031946															ES	Almería			Cerro de la Alcazaba																																										5b5e6b66-4965-4815-ae8d-0875ccd9b7aa						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:39:50.020Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:39:50.020Z	2023-01-12T15:08:55.840Z	false										NT	
1936358315																										45843c91-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				45843c91-20fe-11e3-9e2e-000c29035824	MA-01-00433688		A. Soler													PRESENT							MA-433688-1												1973-12-27T00:00:00				1973	12	27	27121973															ES	Almería			Cerro de San Cristobal																																										a714ad02-93db-4646-8be5-f07571b6bd8e						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:39:49.489Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:39:49.489Z	2023-01-12T15:08:55.840Z	false										NT	
1936357966																										453e35a2-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				453e35a2-20fe-11e3-9e2e-000c29035824	MA-01-00433123		A. Barra & al.													PRESENT							MA-433123-1												1982-03-06T00:00:00				1982	3	6	06031982	roquedos calizos, laderas margosas										EUROPE				ES	Almería			Barranco del Caballar									36.8449	-2.4629																																c8d612d6-5118-409e-9853-8e5c9abf522b						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:26.526Z	110.0							GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:26.526Z	2023-01-12T15:08:55.840Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
1936357472																										45345140-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				45345140-20fe-11e3-9e2e-000c29035824	MA-01-00432123		F. Pérez Raya													PRESENT							MA-432123-1												1979-02-15T00:00:00				1979	2	15	15021979	en arenales fijados														ES	Almería			Cabo de Gata. Próximo a Torre García									36.7721	-2.3289																																d1d77486-2022-4a3b-a755-689ff923da45						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:26.253Z								GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:26.253Z	2023-01-12T15:08:55.840Z	false										NT	
1936214777																										63c42507-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				63c42507-20fe-11e3-9e2e-000c29035824	MA-01-00805100	17089	Carlos Aedo Pérez													PRESENT							MA-805100-1												2010-01-05T00:00:00				2010	1	5	5-I-2010	Habitat: claros de espartal sobre suelos arenosos										EUROPE				ES	Almería			pr. Retamar, rambla de las Amoladeras									36.82	-2.249444																																e869eef1-9a50-400e-bd21-477dfc35a03b										2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:43:17.111Z								COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:43:17.111Z	2023-01-12T15:08:55.840Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
1936173692																										452d4c3c-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				452d4c3c-20fe-11e3-9e2e-000c29035824	MA-01-00431694		Hª Jerónimo													PRESENT							MA-431694-1												1931-06-18T00:00:00				1931	6	18	18061931															ES	Almería			Cerro de San Cristobal																																										b515c35d-20fe-11e3-9e2e-000c29035824						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:26.717Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:26.717Z	2023-01-12T15:08:55.840Z	false										NT	
1936160732																										43f8bc17-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				43f8bc17-20fe-11e3-9e2e-000c29035824	MA-01-00414387	1069	J. Fernández Casas													PRESENT							MA-414387-1																														EUROPE				ES	Almería			El Alquián									36.8444	-2.3731																																1bcb5bd6-4921-4dbb-8b00-9e6be0eb4f37						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:25.845Z								GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:25.845Z	2023-01-12T15:08:55.840Z	false		ESP	Spain	ESP.1_1	Andalucía	ESP.1.1_1	Almería	ESP.1.1.5_1	n.a. (19)	NT	
1936148935																										42b4718d-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				42b4718d-20fe-11e3-9e2e-000c29035824	MA-01-00393955		J. Fernández Casas													PRESENT							MA-393955-1												1969-12-01T00:00:00				1969	12		00121969	con suelo arenoso														ES	Almería			En plantaciones de Enequen, cerca del Alquian																																										b50537a5-2234-4ee3-aba8-8b6d7ebda981						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:24.084Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:24.084Z	2023-01-12T15:08:55.840Z	false										NT	
1936130902																										40be29dd-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				40be29dd-20fe-11e3-9e2e-000c29035824	MA-01-00372311		A. Soler													PRESENT							MA-372311-1												1973-12-27T00:00:00				1973	12	27	27121973															ES	Almería			Cerro de San Cristobal																																										ba0a3ccf-fce7-4133-86dd-ca057fb1883f						2012-03-01T00:00:00			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:42:19.864Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:42:19.864Z	2023-01-12T15:08:55.840Z	false										NT	
1936116713																										3f5684d1-20fe-11e3-9e2e-000c29035824									es	CC_BY_NC_4_0																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PRESERVED_SPECIMEN				3f5684d1-20fe-11e3-9e2e-000c29035824	MA-01-00349524		Salvador Rivas Goday													PRESENT							MA-349524-1												1946-01-01T00:00:00				1946			00001946															ES	Almería			Cerro de la Alcazaba																																										740b53e1-7295-42ef-9a6b-e5f49a98d4b7						2012-03-01T00:00:00				2740599								Androcymbium europaeum (Lange) K.Richt.								Plantae	Tracheophyta	Liliopsida	Liliales	Colchicaceae		Colchicum	Androcymbium			europaeum			SPECIES				SYNONYM			834c9918-f762-11e1-a439-00145eb45e9a	ES	2023-06-07T14:39:36.816Z								INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	false	false	2740599	2740597	6	7707728	196	1172	7697	2739608		2740597	Colchicum europaeum	Colchicum europaeum (Lange) J.C.Manning & Vinn.	Androcymbium europaeum (Lange) K. Richt.		EML	2023-06-07T14:39:36.816Z	2023-01-12T15:08:55.840Z	false										NT	
